Destination,Type,Latitude,Longitude, Website Link, Image Link
CHIJMES,Heritage,1.295209103,103.8511602, https://chijmes.com.sg/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes/carousel1-1670x940.jpg 
Boat Quay,Heritage,1.286417128,103.8496457, https://www.introducingsingapore.com/boat-quay, https://www.visitsingapore.com/content/dam/desktop/global/walking-tour/eat-drink-tour/drinking-clarke-quay-boat-quay/carousel2-1670x940.jpg 
Thian Hock Keng Temple,Heritage,1.281183631,103.8487806, http://thianhockkeng.com.sg/site, https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple/jcr:content/par-carousel/carousel_detailpage/carousel/item_1.thumbnail.carousel-img.600.338.jpg 
Sri Mariamman Temple,Heritage,1.282994876,103.8470538, https://smt.org.sg/,  https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg 
Buddha Tooth Relic Temple,Heritage,1.281710312,103.8453563, https://www.buddhatoothrelictemple.org.sg/, https://chinatown.sg/wp-content/uploads/2020/05/buddha-tooth-relic-temple_TIH.jpg 
Chinatown,Heritage,1.283716469,103.8445045, https://chinatown.sg/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/chinatown/2018/carousel1-1670x940.jpg 
Haw Par Villa,Heritage,1.28508712,103.7756786, https://www.hawparvilla.sg/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/haw-par-villa-carousel02-square.jpg 
Sultan Mosque,Heritage,1.302599022,103.859171, https://www.sultanmosque.sg/, https://www.sg101.gov.sg/images/connexionsg/2023/sultan%20mosquer.jpg 
National Library,Heritage,1.298064758,103.8555813, https://www.nlb.gov.sg/main/home, https://www.nlb.gov.sg/main/main/main/-/media/NLBMedia/Images/Visit-Us/Libraries/LKCRL/National-Library-Lee-Kong-Chian-Reference-Library-Banner.jpeg?w=500&hash=7CDAEE40AD34052ED1B974F81A1D5762 
Our Lady of Lourdes Church,Heritage,1.303407827,103.8562738, https://lourdes.sg/, https://upload.wikimedia.org/wikipedia/commons/3/39/Church_of_Our_Lady_of_Lourdes_2%2C_Jan_06.JPG 
Sri Veeramakaliamman Temple,Heritage,1.308095174,103.8530918, https://srivkt.org/, https://www.visitsingapore.com/see-do-singapore/culture-heritage/places-of-worship/sri-veeramakaliamman-temple/jcr:content/par/column_control/ccpar1/content_img_insta/content/item_1.thumbnail.image-path.560.315.jpg 
Esplanade - Theatres on the Bay,Heritage,1.289907721,103.8557251, https://www.esplanade.com/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/arts/the-esplanade-carousel01-rect.jpg 
National Museum of Singapore,Museum,1.29672846,103.8484643, https://www.nhb.gov.sg/nationalmuseum/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpeg 
National Gallery Singapore,Museum,1.290616448,103.8529914, https://www.nationalgallery.sg/,https://www.visitsingapore.com/see-do-singapore/arts/museums-galleries/national-gallery-singapore/_jcr_content/par-carousel/carousel_detailpage/carousel/item_1.thumbnail.carousel-img.740.416.jpg
Asian Civilisations Museum,Museum,1.28768669,103.8504028, https://www.nhb.gov.sg/acm/,https://www.visitsingapore.com/see-do-singapore/history/history-museums/asian-civilizations-museum/_jcr_content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg
ArtScience Museum,Museum,1.286468339,103.8593822, https://www.marinabaysands.com/museum.html, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpeg 
Red Dot Design Museum,Museum,1.280324277,103.8564455, https://museum.red-dot.sg/, https://museum.red-dot.sg/cdn/shop/files/RDDM_2018_02863-v3.jpg?v=1613581897&width=480 
Singapore Chinese Cultural Centre,Museum,1.276280076,103.8487246, https://singaporeccc.org.sg/, https://static1.straitstimes.com.sg/s3fs-public/styles/large30x20/public/articles/2017/01/30/10_41355707_-_30_01_2017_-_rscentre31.jpg?VersionId=xlF7.2A.zuorv5_b12_PoflLSmRo5xFM 
Museum of Ice Cream,Museum,1.30284625,103.8103341, https://www.museumoficecream.com/singapore/,https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/museum-of-ice-cream-singapore/_jcr_content/par-carousel/carousel_detailpage/carousel/item0.thumbnail.carousel-img.740.416.jpg
Lee Kong Chian Natural History Museum,Museum,1.303448093,103.7844941, https://lkcnhm.nus.edu.sg/, https://iamarchitect.sg/wp-content/uploads/2017/11/9.jpg 
Singapore Discovery Centre,Museum,1.340003372,103.6928206, https://www.defencecollectivesg.com/sdc/, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c8/76/1d/no-visit-to-singapore.jpg?w=1200&h=-1&s=1 
Singapore Science Centre,Museum,1.333354349,103.7354034, http://www.science.edu.sg/, https://www.science.edu.sg/images/default-source/navigation-bar-2023/dsc_4018_edited.jpg?sfvrsn=871b5b87_2 
Fort Canning Park,Nature,1.294450683,103.8458628, https://beta.nparks.gov.sg/visit/parks/park-detail/fort-canning-park, https://trevallog.com/wp-content/uploads/2022/08/Fort-Canning-Park-Entrance-at-Opposite-Clarke-Quay-1.jpg 
Gardens by the Bay,Nature,1.281665861,103.8637969, https://www.gardensbythebay.com.sg/, https://grant-associates.uk.com/imager/projects/Gardens-by-the-Bay/18560/SNG233_N814-crop_b4d32de2edd68d7354c2bc997fd72d27.jpg 
Singapore Botanic Gardens,Nature,1.314261758,103.8171475, https://www.nparks.gov.sg/sbg, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg 
National Orchid Garden,Nature,1.312115328,103.8161276, https://www.nparks.gov.sg/sbg/our-gardens/tyersall-entrance/national-orchid-garden, https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Entrance_National_Orchid_Garden_Singapore_Feb23_D72_25450.jpg/1200px-Entrance_National_Orchid_Garden_Singapore_Feb23_D72_25450.jpg 
Labrador Nature Reserve,Nature,1.267954015,103.8096275, https://beta.nparks.gov.sg/visit/parks/park-detail/labrador-nature-reserve/, https://www.visitsingapore.com/see-do-singapore/nature-wildlife/reserves/labrador-nature-reserve/jcr:content/par/mobile_21_content_sl/21sliderpar/content_signpost_car/signpost/item_1.thumbnail.image.560.315.jpg 
Singapore Zoo,Nature,1.405210053,103.7959395, https://www.mandai.com/en/singapore-zoo.html, https://image.kkday.com/v2/image/get/w_960%2Cc_fit%2Cq_55%2Ct_webp/s1.kkday.com/product_100148/20221125061025_QhDJu/jpg 
Night Safari,Nature,1.403132571,103.7906235, https://www.mandai.com/en/night-safari.html, https://www.visitsingapore.com/see-do-singapore/nature-wildlife/fun-with-animals/night-safari/jcr:content/par/mobile_21_content_sl/21sliderpar/content_signpost_car/signpost/item1.thumbnail.image.560.315.jpg 
East Coast Park,Nature,1.305861853,103.9251838, https://beta.nparks.gov.sg/visit/parks/park-detail/east-coast-park/, https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/east-coast-park-carousel01-square.jpg 
Sembawang Park,Nature,1.47796792,103.8341911, https://beta.nparks.gov.sg/visit/parks/park-detail/sembawang-park, https://www.roots.gov.sg/-/media/Roots/Images/landmarks/Sembawang-Heritage-Trail/Sembawang-Park.ashx 
Thomson Nature Park,Nature,1.386277725,103.8268747, https://beta.nparks.gov.sg/visit/parks/park-detail/thomson-nature-park, https://hikingthegreenisle.com/wp-content/uploads/2020/06/6636f-img_0332.jpg 
Bukit Timah Nature Reserve,Nature,1.358293602,103.7914254, https://beta.nparks.gov.sg/visit/parks/park-detail/bukit-timah-nature-reserve, https://beta.nparks.gov.sg/images/default-source/parks-img/bukit-timah-nature-reserve/bukit-timah-nature-reserve-hero-rock.jpg 
MacRitchie Reservoir,Nature,1.341857865,103.8352597,https://www.visitsingapore.com/see-do-singapore/nature-wildlife/reserves/macritchie-nature-reserve/, https://media.timeout.com/images/105252957/750/562/image.jpg 
Ion Orchard,Shopping,1.304160216,103.8311339, https://www.ionorchard.com/en.html, https://www.capitaland.com/content/dam/capitaland-media-library/integrateddevelopment-urbandevelopment/Singapore/Singapore/ION%20Orchard/ION-Orchard-Interior-2-Apr-2019.jpg.transform/cap-midres/image.jpg 
Paragon Shopping Centre,Shopping,1.304798647,103.8340874, https://www.paragon.com.sg/, https://www.dpa.com.sg/wp-content/uploads/2022/09/Paragon_Masthead.jpg 
Takashimaya Shopping Centre,Shopping,1.303142718,103.8354444, https://www.takashimayasc.com.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvtBdSl23GFFcQsImJfzToKGL_d0Tsu-sNTfTA-2P-jw&s 
313 @ Somerset,Shopping,1.301442068,103.8395088, https://www.313somerset.com.sg/, https://www.313somerset.com.sg/siteassets/313-somerset/1130-x-600-facade.jpg?width=300&height=400&upscale=false&mode=max&quality=80 
Plaza Singapura,Shopping,1.300462141,103.8452793, https://www.capitaland.com/sg/malls/plazasingapura/en.html, https://www.capitaland.com/content/dam/capitaland-media-library/retail/Singapore/Singapore/Plaza%20Singapura/20181019_EDK_8478-Edit.jpg.transform/cap-midres/image.jpg 
Raffles City,Shopping,1.293810668,103.8530446, https://www.capitaland.com/sg/malls/rafflescity/en.html, https://www.visitsingapore.com/content/dam/mice2-0/venues/raffles-city-convention-centre/carousel-2.jpg 
Marina Square,Shopping,1.291572456,103.8560228, https://www.marinasquare.com.sg/, https://singaporeland.com/wp-content/uploads/2021/08/Marina-Square-2.jpg 
Suntec City,Shopping,1.295473683,103.8575978, https://sunteccity.com.sg/, https://a.cdn-hotels.com/gdcs/production38/d1169/a9c2bb3e-9a16-49ce-820e-dbe3b0e6f0a1.jpg 
Marina Bay Sands Singapore,Shopping,1.284174039,103.8590905, https://www.marinabaysands.com/, https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg 
Haji Ln,Shopping,1.301197501,103.859171, https://visitkamponggelam.com.sg/street/haji-lane/, https://static.honeykidsasia.com/wp-content/uploads/2020/02/haji-lane-with-kids.jpg 
Bugis Junction,Shopping,1.299711436,103.8563866, https://www.capitaland.com/sg/malls/bugisjunction/en.html, https://www.capitaland.com/content/dam/capitaland-media-library/retail/Singapore/Singapore/Bugis%20Junction/Bugis%20Junction%20(2).jpg.transform/cap-midres/image.jpg 
Jewel Changi Airport,Shopping,1.368704229,103.9911331, https://www.jewelchangiairport.com/en.html, https://www.burohappold.com/wp-content/uploads/2019/07/Jewel-Changi_02_Tim-Hursley.jpg 
Vivocity,Shopping,1.265014613,103.8227382, https://www.vivocity.com.sg/, https://singaporeforeveryone.com/wp-content/uploads/2023/11/Vivocity-SINGAPORE.jpg 
Fangko,Food,1.288084352,103.847133, https://fangko.oddle.me/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhFJndZg2MYv5Ycc3jkueTh2AEx4975WZ7lRoSB2FxTQ&s 
Le Shrimp Ramen,Food,1.309896299,103.7944079, https://www.paradisegp.com/le-shrimp-ramen/, https://danielfooddiary.com/wp-content/uploads/2018/12/leshrimp12.jpg 
One Fattened Calf,Food,1.300120509,103.7883658, https://www.onefattenedcalf.com/, https://ucarecdn.com/acb67e62-4a5f-4081-9729-269cc3395b95/ 
Fat Cow,Food,1.303539872,103.8240184, https://www.fatcow.com.sg/, https://images.squarespace-cdn.com/content/v1/603f29f8c9abde7476f172b3/34c42322-e61c-4272-80fa-6ed3070d0089/fc+landing+ext+1280.jpg 
Bonding Kitchen,Food,1.300716424,103.839416, https://bondingkitchen.com/, https://sethlui.com/wp-content/uploads/2020/11/bonding-kitchen-30.jpg 
Brother's Ramen,Food,1.276258232,103.8463331, https://www.facebook.com/BrosRamen/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYLpwjhBgusEVTFCNqMDarWFAakNwPU5dkanUHsHuOSg&s 
Gotti,Food,1.28077607,103.8472274, https://www.gotti.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZWIU65nM5vD9WKwR1aSLg-Z5yR8zFMQFQthD758FLeA&s 
GelatiAmo OneNorth,Food,1.299132294,103.7877463, https://www.gelatiamosg.com/, https://s3.burpple.com/foods/trimmed_16463895101930419_original.png?1646389514 
Sugarhall,Food,1.282604191,103.85083, https://www.sugarhall.sg/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS92JqO4ttriv0yxaVDfYmV0xUFGxRT33ypplE1lXJzg&s 
Dumpling Darlings,Food,1.280748326,103.8473282, https://www.dumplingdarlings.com.sg/, https://images.squarespace-cdn.com/content/v1/5c09e297f79392bd905a10c6/1544613543388-LTKU1W5QLMGSLA16CRQI/DSC09548+copy.JPG 
Ah Er Herbal Soup,Food,1.295353676,103.8254142, https://palettebar.com/ahersoup/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG8lc2t6uF7fnYxd5_6KliD1ajWi_76VOFrtb9JJmHOw&s 
Poon Nah City Home Made Noodle,Food,1.314837177,103.8939307, https://www.facebook.com/poonnahcity/, https://images.deliveryhero.io/image/fd-sg/LH/ujds-hero.jpg?width=512&height=384&quality=45 
Cherry Garden,Food,1.290905321,103.858547, https://www.mandarinoriental.com/en/singapore/marina-bay/dine/cherry-garden, https://www.ourparentingworld.com/wp-content/uploads/2021/01/Cherry-Garden-Mandarin-Oriental-Singapore-5.png 
Bijin Nabe,Food,1.35643532,103.8355266, https://www.tsukadanojosg.com/,https://scontent.cdninstagram.com/v/t51.29350-15/281260288_683753979348342_6338691270492507482_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=UOCmYoSkmWcAb7oVRUK&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfBQJBD52J1WiD6N61V97BjCqefu-Mc3snnzkmqtG6-dZg&oe=66135C18
Pietrasanta The Italian Restaurant,Food,1.298849448,103.7887758, https://casapietrasanta.com/, https://casapietrasanta.com/wp-content/uploads/2022/12/food-1024x896.jpg 
Chef Wei HK Cheong Fun,Food,1.352133865,103.7245893, https://www.facebook.com/chefweihkcheongfun/, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCjoZ2PHcANZK8yzm0MY-nYJ1HX6IJD4pxBLjqoXqmKw&s 
