"ServiceNo","Direction","StopSequence","BusStopCode","Description","Latitude","Longitude"
"10",1,1,"75009","Tampines Int",1.35407552367477,103.943390984739
"10",1,2,"76059","Opp Our Tampines Hub",1.35296163572491,103.941651548528
"10",1,3,"76069","Blk 147",1.34875342114003,103.942086290874
"10",1,4,"96289","Changi General Hosp",1.34005496226354,103.94838106594
"10",1,5,"96109","Opp Blk 3012",1.33737118239889,103.950673331435
"10",1,6,"85079","Flextronic",1.33394889968504,103.950152319867
"10",1,7,"85089","Aft Sungei Bedok",1.33338002405472,103.948803273617
"10",1,8,"85069","Bedok Mkt Pl",1.3318,103.94738
"10",1,9,"85059","Bef Jln Chempaka Kuning",1.32950222197902,103.949066110977
"10",1,10,"85049","Opp Man Fatt Lam Tp",1.32671998700111,103.951248727036
"10",1,11,"85039","Opp Excelsior Gdns",1.32442497435966,103.952985942616
"10",1,12,"85029","Aft Bedok Meth Ch",1.32261805599904,103.954299722025
"10",1,13,"85019","Eastwood Ctr",1.321288333018,103.955344722011
"10",1,14,"94079","Bedok Camp 2",1.319557,103.955325
"10",1,15,"94069","Opp Kew Green Condo",1.31809668590525,103.950856599128
"10",1,16,"94059","Temasek Sec Sch",1.31707137658578,103.94798092494
"10",1,17,"94049","Aft Bedok Sth Ave 3",1.31616443335073,103.944821081277
"10",1,18,"94089","Calvary Ably Of God Ch",1.31536333302999,103.942941389
"10",1,19,"94039","Opp The Summit",1.31485363967239,103.940663337738
"10",1,20,"94029","Aft Sennet Rd",1.31453305602342,103.937504999972
"10",1,21,"94019","Opp Evergreen Ave",1.3142851610342,103.935749530768
"10",1,22,"93099","Siglap Sth CC",1.31390444400831,103.931711388985
"10",1,23,"93089","Opp Goodwill Ct",1.31295810131062,103.927906050201
"10",1,24,"93079","Opp Springvale",1.31250502315071,103.925024769848
"10",1,25,"93069","Aft Siglap Rd",1.31168943552207,103.92240015622
"10",1,26,"93059","Aft Jln Buloh Perindu",1.31076138897412,103.919307778022
"10",1,27,"92159","ST. PATRICK'S SCH",1.309748,103.9166295
"10",1,28,"92149","St. Patrick's Green",1.30928064742874,103.914345172902
"10",1,29,"92139","Opp Caltex Stn",1.30853972762017,103.910629322094
"10",1,30,"92129","The Holy Family Ch",1.30686400495083,103.906461341356
"10",1,31,"92119","Roxy Sq",1.30444500073,103.902774514231
"10",1,32,"92109","Opp Katong Shop Ctr",1.30356602776936,103.901456147786
"10",1,33,"92099","One Amber",1.3023783312326,103.899004265712
"10",1,34,"92161","Aft Katong PO",1.30380001918907,103.896569230703
"10",1,35,"82071","Opp Tg Katong Girls' Sch",1.30725334418948,103.89541128172
"10",1,36,"81199","BEF OLD AIRPORT RD",1.30862937328019,103.890631127019
"10",1,37,"81189","Dakota Stn Exit B/Blk 60",1.30821308595952,103.888508774084
"10",1,38,"81179","Blk 22",1.30726086825664,103.884907110018
"10",1,39,"80141","Opp S.A. Deaf",1.30711835522323,103.879893732462
"10",1,40,"80219","Natl Stadium",1.30674381370885,103.875264139574
"10",1,41,"80169","Nicoll Highway Stn",1.30070547633658,103.863360132571
"10",1,42,"80159","Suntec City",1.295962316986,103.857951748962
"10",1,43,"02119","Opp War Memorial Pk",1.29184407356581,103.855343343051
"10",1,44,"03019","OUE Bayfront",1.284245000013,103.853108055996
"10",1,45,"03059","One Raffles Quay",1.281111,103.851461
"10",1,46,"03129","UIC Bldg",1.27807003532092,103.849567181238
"10",1,47,"03217","Opp AXA Twr",1.27552218897645,103.847944367492
"10",1,48,"05649","Opp Customs Port Br HQ",1.2723842122117,103.840939122181
"10",1,49,"14061","Opp Former Railway Stn",1.27231269789239,103.838620357349
"10",1,50,"14071","Keppel Workshop",1.27220342411953,103.833902586259
"10",1,51,"14081","Tg Pagar DP Blk F5",1.270896111,103.8308919
"10",1,52,"14101","Opp Keppel DP Blk 517",1.26837500002503,103.82825805601
"10",1,53,"14141","HarbourFront Stn/Vivocity",1.26552421466644,103.822113268462
"10",1,54,"14121","Opp HarbourFront Int",1.26591350024271,103.819256606218
"10",1,55,"14131","Caribbean at Keppel Bay",1.26740130257465,103.816754411503
"10",1,56,"14151","Opp Chr Community Chapel",1.26964765905364,103.812935941234
"10",1,57,"14161","Telok Blangah Stn",1.27075866533548,103.810099130053
"10",1,58,"14171","Opp Yeo's Bldg",1.27145959833005,103.806548570594
"10",1,59,"15141","Labrador Pk Stn",1.27275860463579,103.800959478238
"10",1,60,"15151","Opp Mapletree Biz City",1.27389192906939,103.798222089824
"10",1,61,"15161","Opp HarbourSide Bldg 2",1.27443806198132,103.796660559405
"10",1,62,"15191","Pasir Panjang Stn/Fc",1.27581227029734,103.79263571258
"10",1,63,"15201","Aft Pasir Panjang Stn",1.27680819120105,103.789708614372
"10",1,64,"15221","Aft Sth Buona Vista Rd",1.27949923466491,103.785489554016
"10",1,65,"16201","Barossa Gdns",1.28130063164133,103.784107588342
"10",1,66,"16011","Opp Haw Par Villa Stn",1.28277766355314,103.781869304134
"10",1,67,"16021","Opp Gloria Mansion",1.28625793147796,103.779810276938
"10",1,68,"16031","Opp S'pore Science Pk II",1.28800629048399,103.778464794136
"10",1,69,"16041","OPP LUXE VILLE",1.2893086506189,103.776600951433
