"destination","type","latitude & longitude","permalink","timestamp","id"
"Fangko ","food",NA,"https://www.instagram.com/p/C4Lkp_EyrBK/","2024-03-06T17:15:45+0000","18031629346734373"
"Le Shrimp Ramen ","food",NA,"https://www.instagram.com/p/C1AOjLTyOHu/","2023-12-18T17:56:30+0000","17959880855693776"
"One Fattened Calf","food",NA,"https://www.instagram.com/p/CzEc10AvA4o/","2023-10-31T16:15:33+0000","17876022860982344"
"Fat Cow","food",NA,"https://www.instagram.com/p/CxidzjVPs32/","2023-09-23T14:58:24+0000","18260416333164315"
"Bonding Kitchen","food",NA,"https://www.instagram.com/p/CvfOhnuPquD/","2023-08-03T15:44:22+0000","17985733220199141"
"Brother's Ramen","food",NA,"https://www.instagram.com/p/CuzfDq9v1Es/","2023-07-17T16:02:15+0000","18014643952725122"
"Gotti","food",NA,"https://www.instagram.com/p/CuEsWlGvObQ/","2023-06-29T11:54:07+0000","18030918826523496"
"GelatiAmo OneNorth","food",NA,"https://www.instagram.com/p/CpiJvw_vhC5/","2023-03-08T15:51:58+0000","17977557941019884"
"Sugarhall","food",NA,"https://www.instagram.com/p/CoXU7tvPRmD/","2023-02-07T14:26:41+0000","18173090077267449"
"Dumpling Darlings ","food",NA,"https://www.instagram.com/p/CkG5sCrBmeu/","2022-10-24T19:15:11+0000","18216421210165973"
"Ah Er Herbal Soup","food",NA,"https://www.instagram.com/p/CgMojhjPyZi/","2022-07-19T14:35:21+0000","18012420952425747"
"Poon Nah City Home Made Noodle","food",NA,"https://www.instagram.com/p/CfzJpwkvqcI/","2022-07-09T17:04:18+0000","17959130929847255"
"Cherry Garden","food",NA,"https://www.instagram.com/p/CejRvZEvy-_/","2022-06-08T16:35:44+0000","17938401938164035"
"Bijin Nabe ","food",NA,"https://www.instagram.com/p/Cdi0H1xPZ2W/","2022-05-14T15:45:32+0000","17946442156940693"
