destination,type,latitude & longitude,permalink,timestamp,id
Fangko ,Food,"1.2880843518398442, 103.84713304070573",https://www.instagram.com/p/C4Lkp_EyrBK/,2024-03-06T17:15:45+0000,1.80E+16
Le Shrimp Ramen ,Food,"1.309896299160814, 103.79440785030286",https://www.instagram.com/p/C1AOjLTyOHu/,2023-12-18T17:56:30+0000,1.80E+16
One Fattened Calf,Food,"1.3001205085921552, 103.78836583018247",https://www.instagram.com/p/CzEc10AvA4o/,2023-10-31T16:15:33+0000,1.79E+16
Fat Cow,Food,"1.3035398719997708, 103.82401835612171",https://www.instagram.com/p/CxidzjVPs32/,2023-09-23T14:58:24+0000,1.83E+16
Bonding Kitchen,Food,"1.3007164244116287, 103.8394159696124",https://www.instagram.com/p/CvfOhnuPquD/,2023-08-03T15:44:22+0000,1.80E+16
Brother's Ramen,Food,"1.2762582316095663, 103.84633311379434",https://www.instagram.com/p/CuzfDq9v1Es/,2023-07-17T16:02:15+0000,1.80E+16
Gotti,Food,"1.280776069511963, 103.8472273500492",https://www.instagram.com/p/CuEsWlGvObQ/,2023-06-29T11:54:07+0000,1.80E+16
GelatiAmo OneNorth,Food,"1.2991322941796024, 103.78774628866722",https://www.instagram.com/p/CpiJvw_vhC5/,2023-03-08T15:51:58+0000,1.80E+16
Sugarhall,Food,"1.2826041909267898, 103.85082997517635",https://www.instagram.com/p/CoXU7tvPRmD/,2023-02-07T14:26:41+0000,1.82E+16
Dumpling Darlings ,Food,"1.2807483264529878, 103.84732820586737",https://www.instagram.com/p/CkG5sCrBmeu/,2022-10-24T19:15:11+0000,1.82E+16
Ah Er Herbal Soup,Food,"1.2953536759436355, 103.8254141848639",https://www.instagram.com/p/CgMojhjPyZi/,2022-07-19T14:35:21+0000,1.80E+16
Poon Nah City Home Made Noodle,Food,"1.3148371765802473, 103.89393074002494",https://www.instagram.com/p/CfzJpwkvqcI/,2022-07-09T17:04:18+0000,1.80E+16
Cherry Garden,Food,"1.2909053209631054, 103.85854703099454",https://www.instagram.com/p/CejRvZEvy-_/,2022-06-08T16:35:44+0000,1.79E+16
Bijin Nabe ,Food,"1.3564353199252572, 103.83552661173525",https://www.instagram.com/p/Cdi0H1xPZ2W/,2022-05-14T15:45:32+0000,1.79E+16
Pietrasanta The Italian Restaurant,Food,"1.2988494476739734, 103.7887758357463",https://www.instagram.com/p/CdC7kGyvQjC/,2022-05-02T06:34:52+0000,1.79E+16
Chef Wei HK Cheong Fun ,Food,"1.3521338645970398, 103.72458934304305",https://www.instagram.com/p/CbaFCL6Pwdi/,2022-03-22T13:17:21+0000,1.79E+16
Chuan Kee Boneless Braised Duck ,Food,"1.3112712123184191, 103.78872830134607",https://www.instagram.com/p/Ca2PLSzPvVn/,2022-03-08T15:13:19+0000,1.80E+16
Greenwood Fish Market ,Food,"1.3319784914637018, 103.80673440401279",https://www.instagram.com/p/CYJh0Arvhm9/,2021-12-31T13:27:33+0000,1.79E+16
Greenwood Fish Market ,Food,"1.3319784914637018, 103.80673440401279",https://www.instagram.com/p/CYJhqIAP7dY/,2021-12-31T13:26:12+0000,1.79E+16
Imperial Treasure Fine Teochew Cuisine,Food,"1.304180267709142, 103.83267052863137",https://www.instagram.com/p/CX2hvNmvC5A/,2021-12-24T04:21:20+0000,1.79E+16
Imperial Treasure Fine Teochew Cuisine,Food,"1.304180267709142, 103.83267052863137",https://www.instagram.com/p/CX2hdKxvqUR/,2021-12-24T04:18:52+0000,1.79E+16
526 BBQ Seafood,Food,"1.3480198383780786, 103.71776805746775",https://www.instagram.com/p/CWWMNgFvhlx/,2021-11-16T18:26:08+0000,1.79E+16
Ghee Huat ,Food,"1.3458361609128902, 103.71371499794043",https://www.instagram.com/p/CWGcZzFPhoM/,2021-11-10T15:39:46+0000,1.79E+16
Li Bai,Food,"1.312138064320104, 103.83695564367332",https://www.instagram.com/p/CUxGM24BEs1/,2021-10-08T12:10:19+0000,1.82E+16
Ah Heng Curry Chicken Bee Hoon Mee ,Food,"1.2853660257216732, 103.84714662065532",https://www.instagram.com/p/CT95SC3pTcB/,2021-09-18T14:56:10+0000,1.79E+16
Igokochi Dining Bar,Food,"1.3162591927718146, 103.75825931935832",https://www.instagram.com/p/CTEOS-bnqYp/,2021-08-27T05:23:51+0000,1.79E+16
A-Roy Thai Restaurant,Food,"1.320150267792961, 103.84434748229134",https://www.instagram.com/p/CSwsvdABU6w/,2021-08-19T15:25:04+0000,1.82E+16
FeatherBlade,Food,"1.2785675220114552, 103.84333292593924",https://www.instagram.com/p/CSN_TxpqL4j/,2021-08-06T03:53:54+0000,1.81E+16
Simei Penang Laksa Speciality ,Food,"1.3452031903513062, 103.73172796724943",https://www.instagram.com/p/CR3sQGoHNQa/,2021-07-28T12:04:05+0000,1.82E+16
Jia Mei Bakery ,Food,"1.3084572468144788, 103.88659078970981",https://www.instagram.com/p/CQvwENPHsIZ/,2021-06-30T13:32:05+0000,1.79E+16
Man Man Japanese Unagi Restaurant,Food,"1.2790430173173226, 103.84209471514049",https://www.instagram.com/p/CQKv4fHH3lE/,2021-06-16T04:38:35+0000,1.79E+16
Trattoria Nonna Lina,Food,"1.27870536966992, 103.84139376303145",https://www.instagram.com/p/COkq_FuHPpj/,2021-05-07T13:13:16+0000,1.79E+16
The Carving Board,Food,"1.3438046610399166, 103.7386608365583",https://www.instagram.com/p/CN7ih1ynxPP/,2021-04-21T13:50:30+0000,1.79E+16
